source_id,title_th,file_path,source_type,corpus,verification_status,index_enabled,page_count,sha256,extraction_status,notes
TTM-FOOD-001,อาหารและสมุนไพรตามธาตุเจ้าเรือน,assets/documents/primary/TTM-001-element-foods.pdf,institutional_health_document,core_element_food,verified,true,8,922995822638f1c57cfd0bb7c550ca02423f5f3c884df810239fbc11bc683072,pending,เอกสารหลักด้านรายการอาหาร ใช้ใน core RAG
TTM-PRINCIPLE-001,โหราเวชศาสตร์ทางการแพทย์แผนไทย (ธาตุเจ้าเรือน),assets/documents/primary/TTM-002-horaved-element.pdf,institutional_health_document,core_element_food,verified,true,8,7e0d65056c8de9dd8217005630175a5869563edf818cdc50da611e3d145ec8c4,pending,เอกสารหลักด้านหลักการธาตุ ใช้ใน core RAG
WORK-PARTNER-001,ธาตุเจ้าเรือน1,assets/documents/derived/WORK-001-element-compilation.pdf,derived_compilation,working_notes,review,false,13,0df2863739face6d9522c6bfb000ae864317b8e57ec3d80a63816e01e8662a9b,pending,เอกสารสรุป เก็บไว้เพื่อตรวจสอบและจะไม่ใช้สร้างดัชนี
HERB-001,การใช้สมุนไพรตามพุทธานุญาตเพื่องานสาธารณสุขมูลฐาน,assets/documents/secondary/HERB-001-buddhist-primary-healthcare-thesis.pdf,academic_thesis,supporting_thesis,review,false,150,95427b206b57656ebc3c684cff6c06ae92c6cab4457bef52fe321ceae9747b7b,pending,เอกสารประกอบที่ยังไม่เชื่อมกับ food_evidence และไม่ใช้สร้างดัชนี
